COD_CID;DESIG_CID;AREAFIN_M2;LATITUDE;LONGITUDE
0033;Lamego;7544884.252742095850408;41.096171181000045;-7.808499577999953
0034;Peso da Régua;4322258.828785262070596;41.167006543000070;-7.802431701999978
0035;Vila Nova Foz Coa;4556293.987984079867601;41.077823387000080;-7.144799069999976
0036;Vila Real;37023899.678068563342094;41.287452116000054;-7.735206699999935
0037;Bragança;15379139.976222360506654;41.801490235000074;-6.768293779999965
0038;Chaves;34738409.036167256534100;41.743058754000060;-7.472761249999962
0039;Miranda do Douro;3498518.890902889426798;41.498168360000079;-6.279903322999928
0040;Mirandela;6952358.727614900097251;41.485321742000053;-7.179958061999969
0041;Águeda;20952047.028415098786354;40.568455915000072;-8.450925412999936
0042;Aveiro;57871787.146664731204510;40.626771602000076;-8.618574043999956
0043;Ilhavo;9485015.820652559399605;40.599248774000046;-8.669665457999940
0044;Ovar;12848624.932009529322386;40.865700730000071;-8.626152913999931
0045;Esmoriz;9167335.019964324310422;40.959676199000057;-8.626595352999971
0046;Cantanhede;9007741.458403639495373;40.351353526000025;-8.601647536999963
0047;Coimbra;83179615.057600304484367;40.192461527000034;-8.446386443999927
0048;Figueira da Foz;17733014.102206949144602;40.151142917000072;-8.854068397999981
0049;Leiria;39726050.027958609163761;39.749219478000043;-8.807962534999945
0050;Marinha Grande;4318888.224591999314725;39.749477704000071;-8.927804190999950
0051;Pombal;10547958.626798769459128;39.916353123000079;-8.627937643999928
0052;Oliveira do Hospital;10727788.486057536676526;40.349671402000070;-7.851530315999980
0053;Mangualde;7837492.335492863319814;40.604495191000069;-7.758513426999968
0054;Tondela;23633192.332255430519581;40.516486468000039;-8.084140117999937
0055;Viseu;39126478.541434258222580;40.663331195000069;-7.910316192999971
0056;Gouveia;4924758.973357617855072;40.492052342000079;-7.590710132999959
0057;Seia;4757769.141634020954370;40.419908248000070;-7.707669592999935
0058;Guarda;13667857.032277114689350;40.537869808000039;-7.268621409999980
0059;Pinhel;3507189.873114829882979;40.771813315000031;-7.069778882999969
0060;Castelo Branco;16348902.432682659476995;39.815898968000056;-7.507066211999927
0061;Covilhã;47630420.532175548374653;40.263319202000048;-7.501318480999942
0062;Fundão;4097155.065604611765593;40.145164515000033;-7.500197464999928
0063;Alcobaça;5826403.213054339401424;39.547878823000076;-8.971362034999970
0064;Caldas da Rainha;19398461.927055250853300;39.411317874000076;-9.143154193999976
0065;Peniche;7142114.740359372459352;39.360329056000069;-9.382274466999945
0066;Torres Vedras;16280307.516469046473503;39.089769381000053;-9.253766774999974
0067;Amadora;23784722.514472015202045;38.759812578000037;-9.229503440999963
0068;Lisboa;100054412.208296686410904;38.737674502000061;-9.156771788999947
0069;Odivelas;4341027.668091760016978;38.792601701000081;-9.183145716999945
0070;Loures;11771579.187741762027144;38.826905541000031;-9.170246046999978
0071;Sacavém;3885466.909873600117862;38.797470026000042;-9.115525363999950
0072;Queluz;6716627.070062335580587;38.754523587000051;-9.264879596999947
0073;Vila Franca Xira;4757277.888447131961584;38.957209419000037;-8.989700236999965
0074;Alverca do Ribatejo;10385637.552154805511236;38.894336580000072;-9.033621258999972
0075;Almada;14703967.736427040770650;38.666642407000040;-9.163917652999942
0076;Barreiro;10926636.240726383402944;38.659033400000055;-9.064509674999954
0077;Montijo;9058344.568367540836334;38.707384486000080;-8.967085021999935
0078;Amora;5439305.208245141431689;38.625573395000060;-9.120186537999928
0079;Seixal;8645120.426327258348465;38.627454707000027;-9.101978545999941
0080;Setúbal;37964929.115655533969402;38.521954197000071;-8.849576498999966
0081;Abrantes;28272744.989855263382196;39.471300096000050;-8.201670865999972
0082;Entroncamento;13728112.968462344259024;39.464365561000079;-8.478658412999948
0083;Tomar;12476246.809521581977606;39.604797989000076;-8.407139300999972
0084;Torres Novas;10854040.812245756387711;39.473335776000056;-8.542969946999960
0085;Fátima;17141714.959082663059235;39.626538917000062;-8.670630762999963
0086;Ourém;7378284.203654580749571;39.653566589000036;-8.579544044999977
0087;Almeirim;6556587.903875751420856;39.206548135000048;-8.620766059999937
0088;Cartaxo;6924684.320168391801417;39.163128988000039;-8.787105636999968
0089;Rio Maior;13322323.634902937337756;39.331386795000071;-8.930819909999968
0090;Santarém;28193176.827114298939705;39.247884737000049;-8.701281029999961
0091;Alcácer do Sal;6562705.206523777917027;38.381505232000052;-8.512919793999970
0092;Santiago do Cacém;3265653.915108570363373;38.014781180000057;-8.697575688999962
0093;Sines;5402537.504759052768350;37.957776129000024;-8.859162545999936
0094;Elvas;18973405.552846465259790;38.874778220000053;-7.166822462999960
0095;Ponte de Sor;8844799.745306190103292;39.254400262000047;-8.015880700999958
