Período;ARS;ACES;Localização Geográfica;Sexo;Faixa Etária;Nº Utentes;ID
2021-11;Lisboa e Vale do Tejo;Lezíria;39.2371689,-8.6908895;Masculino;<20;24;2021-11/<20/Masculino/Lezíria
2021-11;Lisboa e Vale do Tejo;Lezíria;39.2371689,-8.6908895;Masculino;50-64;60;2021-11/50-64/Masculino/Lezíria
2021-11;Lisboa e Vale do Tejo;Lezíria;39.2371689,-8.6908895;Feminino;<20;20;2021-11/<20/Feminino/Lezíria
2021-11;Lisboa e Vale do Tejo;Lezíria;39.2371689,-8.6908895;Feminino;20-34;20;2021-11/20-34/Feminino/Lezíria
2021-11;Lisboa e Vale do Tejo;Lezíria;39.2371689,-8.6908895;Feminino;65 e +;52;2021-11/65 e +/Feminino/Lezíria
2021-11;Alentejo;Alentejo Central;38.8442031,-7.5826619;Masculino;35-49;32;2021-11/35-49/Masculino/Alentejo Central
2021-11;Alentejo;Alentejo Central;38.8442031,-7.5826619;Masculino;65 e +;92;2021-11/65 e +/Masculino/Alentejo Central
2021-11;Algarve;Algarve I - Central;37.0274264,-7.9395984;Feminino;<20;184;2021-11/<20/Feminino/Algarve I - Central
2021-11;Algarve;Algarve I - Central;37.0274264,-7.9395984;Feminino;35-49;239;2021-11/35-49/Feminino/Algarve I - Central
2021-11;Algarve;Algarve I - Central;37.0274264,-7.9395984;Feminino;65 e +;151;2021-11/65 e +/Feminino/Algarve I - Central
2021-11;Algarve;Algarve II - Barlavento;37.1387554,-8.5445093;Masculino;<20;155;2021-11/<20/Masculino/Algarve II - Barlavento
2021-11;Algarve;Algarve II - Barlavento;37.1387554,-8.5445093;Masculino;35-49;97;2021-11/35-49/Masculino/Algarve II - Barlavento
2021-11;Algarve;Algarve II - Barlavento;37.1387554,-8.5445093;Masculino;65 e +;128;2021-11/65 e +/Masculino/Algarve II - Barlavento
2021-11;Algarve;Algarve II - Barlavento;37.1387554,-8.5445093;Feminino;<20;155;2021-11/<20/Feminino/Algarve II - Barlavento
2021-11;Algarve;AlgarveIII - Sotavento;37.383008,-7.7293275;Masculino;35-49;38;2021-11/35-49/Masculino/AlgarveIII - Sotavento
2021-12;Norte;ULS Nordeste;41.8069684,-6.7587977;Feminino;<20;187;2021-12/<20/Feminino/ULS Nordeste
2021-12;Norte;Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;Masculino;20-34;13;2021-12/20-34/Masculino/Trás-os-Montes - Alto Tâmega e Barroso
2021-12;Norte;Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;Masculino;65 e +;78;2021-12/65 e +/Masculino/Trás-os-Montes - Alto Tâmega e Barroso
2021-12;Norte;Douro I - Marão e Douro Norte;41.2968711,-7.7483727;Masculino;35-49;62;2021-12/35-49/Masculino/Douro I - Marão e Douro Norte
2021-12;Norte;Douro I - Marão e Douro Norte;41.2968711,-7.7483727;Feminino;20-34;83;2021-12/20-34/Feminino/Douro I - Marão e Douro Norte
2021-12;Norte;Douro I - Marão e Douro Norte;41.2968711,-7.7483727;Feminino;65 e +;226;2021-12/65 e +/Feminino/Douro I - Marão e Douro Norte
2021-12;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Masculino;20-34;37;2021-12/20-34/Masculino/Douro II - Douro Sul
2021-12;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Masculino;35-49;47;2021-12/35-49/Masculino/Douro II - Douro Sul
2021-12;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Feminino;50-64;147;2021-12/50-64/Feminino/Douro II - Douro Sul
2021-12;Norte;Alto Ave - Guimarães/Vizela/Terras de Basto;41.4417064,-8.1722408;Masculino;<20;54;2021-12/<20/Masculino/Alto Ave - Guimarães/Vizela/Terras de Basto
2021-12;Norte;Alto Ave - Guimarães/Vizela/Terras de Basto;41.4417064,-8.1722408;Masculino;20-34;28;2021-12/20-34/Masculino/Alto Ave - Guimarães/Vizela/Terras de Basto
2021-12;Norte;Alto Ave - Guimarães/Vizela/Terras de Basto;41.4417064,-8.1722408;Feminino;50-64;173;2021-12/50-64/Feminino/Alto Ave - Guimarães/Vizela/Terras de Basto
2021-12;Norte;Ave - Famalicão;41.3835805,-8.4157518;Feminino;65 e +;141;2021-12/65 e +/Feminino/Ave - Famalicão
2021-12;Norte;Cávado I - Braga;41.5518714,-8.4126362;Masculino;50-64;1;2021-12/50-64/Masculino/Cávado I - Braga
